Frequencies of TPMT alleles in biogeographical groups,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
TPMT allele,African American/Afro-Caribbean,Central/South Asian,East Asian,European,Latino,Near Eastern,Sub-Saharan African
*1,0.92341334,0.9813701,0.979625,0.9534313,0.94345534,0.96561086,0.9214915
*2,0.0053066667,0.00022537795,0.00008490133,0.0020584913,0.0034579393,0.007194246,0.0
*3A,0.008,0.0042245653,0.00030599828,0.033840433,0.041727107,0.0130693065,0.0016235898
*3B,0.0,0.0017308706,0.0,0.0028341785,0.002382896,0.004721087,0.0
*3C,0.024,0.011216759,0.01636903,0.0049218307,0.005828808,0.009404483,0.052884888
*4,,0.0,0.0,0.000058889815,0.0,,
*5,,,0.0,0.0,,,
*6,0.0,0.0,0.0022042317,0.0,0.00002916,,
*7,,0.0,0.0,0.000015974565,0.0,,
*8,0.00648,0.00009375629,0.0,0.000104547704,0.001191,,0.024
*9,,0.0,0.0,0.0005553769,0.0001163,,0.0
*11,,,,0.00024325753,,,
*12,0.0,0.0,0.0000531,,0.00008733,,
*14,,,0.0,0.0,,,0.0
*15,,0.0,0.0,0.000045666697,0.0,,
*16,0.0,0.0005212,0.00020803267,0.0010142878,0.00005819,,
*17,,,,0.00040,,,
*18,,0.0,0.0,0.000011514104,0.0,,
*20,,0.0,0.0,0.00005133778,0.0,,
*21,0.0,0.0,0.0,0.00005822823,0.0,,
*22,,,,0.0,,,
*23,,0.0,0.0,0.000026239319,0.0,,
*24,0.0328,0.0,0.0,0.000026354577,0.001137,,
*25,0.0,,,0.00010,,,
*26,,0.0,0.0003479,0.0,0.0,,
*29,,0.0,0.0002899,0.0,0.0,,
*30,,0.0,0.0,0.000014929322,0.0001489,,
*31,,0.0,0.0,0.0000074631716,0.0,,
*32,,0.0,0.0,0.000029890569,0.0,,
*33,,0.00003256,0.0,0.000039384588,0.00008729,,
*34,0.0,0.0005848,0.0,0.0000074709346,0.0,,
*37,,0.0,0.0,0.00003731825,0.00008934,,
*38,,0.0,0.0004059,0.0,0.0,,
*39,,0.0,0.000106,0.000006562125,0.0,,
*40,,0.0,0.0,0.00005903421,0.0002034,,
