NUDT15 Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*1/*1,,NUDT15 Normal Metabolizer,Normal/Routine/Low Risk
*1/*2,,NUDT15 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*3,,NUDT15 Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*4,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*1/*5,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*1/*6,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*1/*7,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*1/*8,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*1/*9,,NUDT15 Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*2,,NUDT15 Poor Metabolizer,Abnormal/Priority/High Risk
*2/*3,,NUDT15 Poor Metabolizer,Abnormal/Priority/High Risk
*2/*4,,NUDT15 Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*5,,NUDT15 Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*6,,NUDT15 Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*7,,NUDT15 Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*8,,NUDT15 Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*2/*9,,NUDT15 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*3,,NUDT15 Poor Metabolizer,Abnormal/Priority/High Risk
*3/*4,,NUDT15 Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*5,,NUDT15 Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*6,,NUDT15 Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*7,,NUDT15 Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*8,,NUDT15 Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*3/*9,,NUDT15 Poor Metabolizer,Abnormal/Priority/High Risk
*4/*4,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*4/*5,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*4/*6,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*4/*7,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*4/*8,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*4/*9,,NUDT15 Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*5,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*5/*6,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*5/*7,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*5/*8,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*5/*9,,NUDT15 Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*6/*6,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*6/*7,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*6/*8,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*6/*9,,NUDT15 Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*7/*7,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*7/*8,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*7/*9,,NUDT15 Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*8,,NUDT15 Indeterminate,Abnormal/Priority/High Risk
*8/*9,,NUDT15 Possible Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*9,,NUDT15 Poor Metabolizer,Abnormal/Priority/High Risk
